*bruski	browbeat
-a	 -ful
-ad-	(denotes continuation or constant repetition of an action)
-an-	(denotes a member, inhabitant, or partisan)
-ant-	(denotes present participle)
-ar-	(denotes a collection of persons or objects)
-ata	(shows that the action is still in progress, the state is still applicable)
-aĉ-	(denotes badness of quality, disparaging)
-aĵ-	(denotes something possessing a certain quality or made from a certain substance, meat from a specific animal)
-aĵo	adamant
-bruna	drab
-e	(denotes adverbs) /  -ly
-ebl-	(denotes possibility)
-ebla	-able, -ible
-ec-	(denotes an abstract concept)
-eca	-ish, -like / adipose
-eco	-ness, -ship, -ity
-edo	 -oid
-eg-	(denotes a great size or degree)
-ej-	(place used for an action or object)
-ek-	(denotes the beginning of an action or that something is momentary)
-em-	(denotes a disposition or inclination)
-end-	(denotes something to be done or which must be done)
-er-	(denotes the unit of the whole)
-estr-	(denotes person in charge)
-et-	(suffix diminishing meaning of root)
-eto	-et
-feliĉo	adversity
-foje	number of times
-hora	hour's, hours'
-i	to (infinitive ending)
-id-	(denotes young of, offspring)
-ig-	(denotes causing or bringing about an state, creates causative verbs, to make, render)
-igo	advancement
-il-	(denotes the instrument by which something is done)
-in-	(gives the feminine of a noun)
-ind-	(denotes worthiness, merit)
-ing-	(denotes a holder for the object contained in the root)
-inta	(perfect particle) / advanced
-ire	afoot
-is	(past tense) / have
-ism-	(denotes doctrine or school of though)
-ist-	(denotes one who occupies oneself with something)
-isto	-er, -ist, -or
-ita	(shows that the action is finished, completed)
-iĉ-	(indicates the masculine sex)
-iĝ-	(denotes that a state has come into being, become)
-iĝinta	affianced
-j	(plural ending)
-n	(accusative ending)
-nj-	(used to form diminutives with feminine names)
-o	(noun ending, singular) / affront
-obl-	(denotes multiples of a number)
-oj	(noun ending, plural)
-on-	(denotes a fraction)
-onta	(future particle, “about to do” something)
-op-	(denotes a numeral collective)
-os	(future tense)
-ota	(shows that the action has not yet been started)
-oza	(indicates full of, rich in)
-pago	admission
-u	(imperative form)
-uj-	(denotes a container, country formed from the name of its people, tree formed from name of its fruit)
-ul-	(person characterized by the root)
-um-	(denotes some undefined action or object related to the root)
-us	(conditional or subjunctive ending)
-ĉj-	(used to form diminutives with masculine names)
1. n. [03[01writing]] skribrulaĵo	scroll
ANSI-signaro	ANSI character set
AVL-arbo	AVL tree
Aarono	Aaron
Abadono	Abaddon (biblical, a compartment of Gehenna)
Abaso	Abbas
Abdulo	Abdul, Abdullah
Abelardo	Abelard
Abelo	Abel
Aberdaŭgledo	Milford Haven
Aberdeno	Aberdeen
Aberduro	Aberdour
Aberfeldo	Aberfeldy
Aberfojlo	Aberfoyle
Abergaveno	Abergavenny
Abergvaŭno	Fishguard
Abermaŭo	Barmouth
Abertaŭo	Swansea
Abida	Abida
Abimael	Abimael
Abimeleĥ	Abimelech
Abintono	Abington
Abisena	Abyssinian, Ethiopian
Abisenio	Abyssinia, Ethiopia
Abiseno	Abyssinian, Ethiopian
Abisenujo	Abyssinia, Ethiopia
Abiŝag	Abishag
Abnero	Abner
Abrahamo	Abraham
Abram	Abram
Abramo	Abram
Abruco	Abruzzo (region of Italy)
Abruzo	Abruzzo (region in Italy)
Abruzoj	Abruzzo (region of Italy)
Absolute ne!	Absolutely not!
Abudabio	Abu Dhabi
Abudabo	Abu Dhabi
Abuĝo	Abuja
Abĥazio	Abkhazia
Abĥazujo	Abkhazia
Abŝalomo	Absalom
Aciso	Acis (mythological character)
Acoroj	the Azores
ActiveX-datumobjektoj	ActiveX Data Objects
ActiveX-komponento	ActiveX component
ActiveX-objekto	ActiveX object
ActiveX-stirilo	ActiveX control
AdE	Akademio de Esperanto
Ada	Ada
Adalberto	Adalbert
Adamo	Adam
Adampomo	Adam’s apple
Adbeel	Adbeel
Adelaido	Adelaide
Adelajdo	Adelaide
